sample	ploidy.mean.cn
PD53330c	2.44698554180165
PD53331a	1.99771791257123
PD53332d	3.89724238997891
PD53332e	2.05666642392545
PD53333f	3.8396188179652
PD53334a	2.28041379630582
PD53337a	2.00206515491422
PD53339a	3.58110224220412
PD53341a	2.36182861322676
PD53343h	2.02976781536493
PD53345a	3.86514872262174
PD53346a	4.05400406086039
PD53347c	5.39493362217146
PD53348a	1.7792167717211
PD53349d	3.66536310684271
PD53349e	3.82525284404172
PD53350d	4.18549970581504
PD53350e	4.12466266520486
PD53351a	3.22847694857396
PD53352e	3.51644102614952
PD53353a	2.9015209374692
PD53354a	1.83967741694271
PD53355c	3.64773189090419
PD53357c	3.63485293704415
PD53357d	3.65019365303217
PD53357e	3.50327808093098
PD53359c	3.92862624465036
PD53361a	2.1386921842974
PD53362a	3.05567674434679
PD53363a	3.37382113643403
PD53365a	3.56574534005273
PD53366a	2.00691533728193
PD53367a	2.37760361557816
PD53369a	2.167423010695
PD53330a	2.37008601678194
PD53332c	1.84658414576608
PD53333a	3.66717375171291
PD53333c	3.73321142281682
PD53333d	3.82712917415529
PD53333e	3.81965326177979
PD53343a	4.02916655031021
PD53343c	4.14001682891918
PD53343f	4.18355807034804
PD53343g	4.06190376843706
PD53347a	5.4042601837503
PD53349a	3.79744714775386
PD53349c	3.45434354369739
PD53350a	4.12520519314342
PD53350c	4.00269158124498
PD53352c	3.5211902307466
PD53355a	3.44187509266901
PD53357a	3.52173915333403
PD53359a	3.309918103957
PD53364a	3.15930594705821
PD53337c	2.16056288919828
PD53338a	2.40515820432214
PD53342a	2.09466427554042
PD53343i	2.11131614571581
PD53352d	3.81622714889758
PD53358a	2.12813285644402
PD53364c	3.31525141164076
PD53368a	3.69816499128458
PD53332a	1.85124862965397
PD53343d	4.04382033298473
PD53343e	4.02516312469133
PD53352a	3.73309365148667
